ITEM NUMBER	OLD REV	NEW REV	ECO NUMBER																									
100016209		1	10839																									
100016209	1	00A	10884																									
100016209	00A	00C	12547																									
100016209	00C	00D	12748																									
100016209	00D	00E	12914																									
100016209	00E	00F	13496																									
100016209	00F	00G	14903																									
100016209	00G	00H	15231																									
100016209	00H	00J	16231																									
100016209	00J	00K	17424																									
100016209	00K	00M	19281																									
100016209	00M	00N	19978																									
937A-120V60TR-NAT1T1-NA		00A	SETUP																									
100016123		00A	10446																									
100016123	00A	0A1	10998																									
100016124		00A	10446																									
100016124	00A	0A1	16045																									
100016124	0A1	00B	17630																									
100016124	00B	00C	17630A																									
100016124	00C	0C1	19794																									
100016124	0C1	0C2	19843																									
100016125		00A	10446																									
100016125	00A	0A1	11034																									
100016125	0A1	0A2	16045																									
100016125	0A2	00B	17208																									
100016125	00B	00C	17630																									
100016125	00C	00D	17630A																									
100016125	00D	0D1	19794																									
100016125	0D1	0D2	21525																									
100016128		00A	10446																									
100016129		00A	10446																									
100016129	00A	00B	21342																									
100016129	00B	0B1	21923																									
100016129	0B1	0B2	21971																									
100008759-140		00C	4915																									
100016291		00A	11102																									
100016291	00A	0A1	17817																									
100016122		00A	10446																									
1704550		00A	07-233																									
937B-EU-CCCTNA-NA003		00A	10866																									
937B-EU-CCCTNA-NA003	00A	00B	12705																									
937B-EU-CCCTNA-NA003	00B	00D	13496																									
937B-EU-CCCTNA-NA003	00D	00E	14108																									
937B-EU-CCCTNA-NA003	00E	00F	14124																									
937B-EU-CCCTNA-NA003	00F	00G	15592																									
937B-EU-CCCTNA-NA003	00G	00H	16241																									
937B-EU-CCCTNA-NA003	00H	00J	17424																									
937B-EU-CCCTNA-NA003	00J	00K	18351																									
937B-EU-CCCTNA-NA003	00K	00L	18400																									
937B-EU-CCCTNA-NA003	00L	00M	19224																									
937B-EU-CCCTNA-NA003	00M	00N	19603																									
937B-EU-CCCTNA-NA003	00N	00O	20958																									
937B-EU-CCCTNA-NA003	00O	OBS	21767																									
1704500		00A	07-233																									
925-11004-0065		00A	W223																									
1704312		00A	07-233																									
1704312	00A	00B	10847																									
100016303		00A	11963																									
100016303	00A	00B	21483																									
925-51050		00A	W223																									
100016305		00A	10975																									
100017436		00A	W220																									
100017436	00A	00B	W253																									
100017436	00B	00C	W258																									
100017436	00C	00D	W280																									
100017435		2.02	W280																									
1704310		00A	07-233																									
100016292		00A	10975																									
100016343		00A	10975																									
100016344		00A	10975																									
100016345		00A	10975																									
1704308		00A	07-233																									
100017437		00A	W225																									
100016372		00A	10975																									
100016373		00A	10975																									
1704306		00A	07-233																									
